0101010F0BDAAAU	0101010F0BDABBE
090401000BBUAA0	0913222C0BBAAAA
090401000BBUBA0	0913061C0BBAAAA
090401000BBUCA0	0913261J0BDABAD
090401000BBUDA0	0913181A0BBAAAA
090401000BBUEA0	0913181D0BCAAAA
090401000BBUFA0	0913181E0BBAAAA
090401000BBUGA0	0913205M0BBAFAB
090401000BBUHA0	0913205J0BCAAAA
090401000BBUIA0	0913205L0BBACAB
090401000BBUJA0	0913205C0BCACAC
090401000BBUKA0	0913205E0BBABAA
090401000BBULA0	0913205E0BBACAA
090401000BBUNA0	0913205N0BBAGAE
090401000BBUPA0	0913131A0BBAAAA
090401000BBUQA0	0913131A0BBABAA
090401000BBURA0	0913181B0BBAAAA
090401000BBUUA0	0913445B0BBAAAA
090401000BBUVA0	0913181A0BBABAB
090401000BBUWA0	0913281A0BBAAAA
090401000BBUXA0	0913132A0BBAAAA
090401000BBUYA0	0913205A0BDAAAB
090401000BBVAA0	0913205C0BCAAAB
090401000BBVBA0	0913205C0BCABAB
090401000BBVCA0	0913205L0BBAAAA
090401000BBVDA0	0913205L0BBABAA
090401000BBVEA0	0913446B0BBAAAA
090401000BBVFA0	0913205H0BBAAAA
090401000BBVGA0	0913205H0BBABAA
090401000BBVHA0	0913237A0BBABAB
090401000BBVIA0	0913205C0BBABAA
090401000BBVJA0	0913205C0BBACAA
090401000BBVKA0	0913107A0BDABAC
090401000BBVLA0	0913205D0BBAEAB
090401000BBVMA0	0913205M0BBAAAA
090401000BBVNA0	0913131B0BBAAAA
090401000BBVPA0	0913205B0BBAAAA
090401000BBVQA0	0913205B0BBABAA
090401000BBVRA0	0913205B0BBACAA
090401000BBVSA0	0913261E0BDAAAA
090401000BBVTA0	0913181F0BBAAAA
090401000BBVUA0	0913205F0BBAGAC
090401000BBVVA0	0913205C0BBAAAA
090401000BBVWA0	0913205E0BBAAAA
090401000BBVXA0	0913226B0BBAFAB
090401000BBVYA0	0913226B0BBAGAB
090401000BBVZA0	0913226A0BBABAB
090401000BBWAA0	0913206D0BBAAAA
090401000BBWBA0	0913201E0BBAAAA
090401000BBWCA0	0913204F0BBAAAA
090401000BBWDA0	0913205E0BCAAAB
090401000BBWEA0	0913205A0BCAAAA
090401000BBWFBX	0913221B0BBAAAA
090401000BBWGBY	0913222A0BBAAAA
090401000BBWHBZ	0913225A0BBAAAA
090401000BBWICA	0913227A0BBAAAA
090401000BBWJCB	0913205J0BBAAAB
090401000BBWKCC	0913205E0BCABAC
090401000BBWLCD	0913205K0BBAAAD
090401000BBWMCE	0913205N0BCAAAG
090401000BBWNCF	0913226C0BBACAC
090401000BBWPCG	0913107A0BCAAAE
090401000BBWQCI	0913206A0BBABAB
090401000BBWRCJ	0913205Q0BBAAAA
090401000BBWSA0	0913192A0BBAAAA
090401000BBWTCK	0913205A0BBAAAC
090401000BBWUCL	0913181G0BCAAAB
090401000BBWVCL	0913181G0BCABAB
090401000BBWWCM	0913181C0BBABAB
090401000BBWXCN	0913181C0BBAAAA
090401000BBXICU	0913226D0BBAAAA
090401000BBXJCV	0913205L0BBADAC
090401000BBXKCW	0913224A0BBABAB
090401000BBXLCX	0913201C0BBACAC
090401000BBXMCY	0913206B0BBABAB
090401000BBXNCZ	0913204C0BBABAB
090401000BBXPDA	0913205F0BBAHAD
090401000BBXQDA	0913205F0BBAIAD
090401000BBXRDA	0913205F0BBAJAD
090401000BBXVDB	0913206F0BBAAAA
090401000BBXWDC	0913181D0BBAAAB
090401000BBXXDD	0913181M0BBAAAA
090401000BBXYDE	0913449A0BBAAAA
090401000BBXZDF	0913181N0BBAAAA
090401000BBYAAR	0913181J0BDAAAC
090401000BBYBDG	0913181P0BBAAAA
090401000BBYCA0	0913205E0BBADAA
090401000BBYDA0	0913205E0BBAEAA
090401000BBYEA0	0913181E0BBABAA
090401000BBYFCC	0913205E0BCAEAC
090401000BBYGCC	0913205E0BCADAC
090401000BBYHCC	0913205E0BCAFAC
090401000BBYICC	0913205E0BCACAC
090401000BBYJDH	0913061C0BDAAAC
090401000BBYKA0	0914032C0BBAAAA
090401000BBYLDI	0913205R0BBAAAA
090401010AAABAB	0913261C0AAADAD
090401010AAACAC	0913261C0AAAEAE
090401010AAADAD	0913261F0AAADAD
090401010BEAAAA	0913261G0BCAAAC
090401010BEABAA	0913261C0BBABAA
090401010BEACAA	0913261C0BBAAAA
090401010BFAAAA	0913261G0BFAAAF
090401010BHAAAA	0913261G0BDAAAD
090401010BIAAAA	0913261G0BEAAAE
090401010BIABAA	0913261C0BCAAAB
090401010BIACAA	0913451C0BBAAAA
090401010BJAAAA	0913261I0BDAAAA
090401010BJABAA	0913261I0BDADAB
090401010BJACAA	0913261I0BDACAB
090401010BJADAA	0913261I0BDAEAB
090401010BJAEAA	0913261T0BBABAA
090401010BJAFAA	0913261T0BBAAAA
090401010BJAGAA	0913261T0BBACAB
090401010BJAHAA	0913261T0BBADAB
090401010BJAIAA	0913261Q0BBAAAA
090401010BJAKAA	0913261G0BBABAB
090401010BJALAA	0913451D0BBAAAA
090401010BJAMAB	0913261C0BEAAAD
090401010BJANAC	0913261C0BEABAE
090401010BJAPAD	0913261F0BEAAAD
090401010BKAAAA	0913261G0BGAAAG
090401010BKABAA	0913261C0BDAAAC
090401020BCAAAA	0913261N0BEAAAA
090401020BDAAA0	0913261G0BBAAAA
090401030BCABAK	0913271C0BEAAAM
090401030BCACAK	0913271C0BEACAP
090401030BCAFAK	0913271C0BEABAN
090401030BCAGAK	0913461C0BFAAAJ
090401030BFAAAK	0913271C0BCAFAI
090401030BFABAK	0913271C0BCAGAJ
090401030BFAFAK	0913271C0BCADAG
090401030BFAGAK	0913271C0BCAEAH
090401030BFAHAK	0913271C0BCACAF
090401030BFAIAK	0913271C0BCAHAK
090401030BFAJAK	0913271C0BCAAAD
090401030BFAKAK	0913271C0BCABAE
090401030BFAMAK	0913461B0BBAAAA
090401030BKAAAK	0913271C0BIACAW
090401030BKABAK	0913271C0BIAAAU
090401030BKACAK	0913271C0BIABAV
090401030BTAAAK	0913271C0BBABAB
090401030BTABAK	0913271C0BBAAAA
090401030BTACAK	0913271C0BBACAC
090401030BUAAAK	0913461C0BDAAAE
090401030BVAAAK	0913271C0BFAAAQ
090401030BXAAAK	0913461C0BBABAB
090401030BXABAK	0913271C0BJAAAX
090401030BXAEAK	0913461C0BBACAC
090401030BXAGAK	0913461C0BBAAAA
090401030CBABAK	0913461C0BHACAP
090401030CBAEAK	0913461C0BHABAN
090401030CBAJAK	0913461B0BCAAAB
090401030CBAKAK	0913461B0BCABAB
090401030CEAAAK	0913461C0BGAAAK
090401030CEABAK	0913461C0BGABAL
090401070BDAFAI	0913461C0BCAAAD
090401070BGAAAI	0913271C0BDAAAL
090401070BGABAI	0913461C0BEACAH
090401070BGACAI	0913461C0BEADAI
090401070BGAEAI	0913461C0BEAAAF
090401070BGAFAI	0913461C0BEABAG
090401070BIAAAI	0913271C0BGAAAR
090401070BJAAAI	0913271C0BHABAT
090401070BJABAI	0913271C0BHAAAS
090401070BLAAAI	0913461C0BHAEAR
090401070BLABAI	0913461C0BHAAAM
090401090AAAAAA	0913142A0AAAAAA
090401090AAABAB	0913142B0AAADAD
090401090BCAAAB	0913142B0BEAAAD
090401090BCAEAA	0913142A0BBAAAA
0904010A0BBAABF	0913461I0BBACAA
0904010A0BBABBF	0913461I0BBAAAA
0904010A0BBACBF	0913461J0BBACAA
0904010A0BBADBF	0913461J0BBAAAA
0904010A0BBAFBF	0913461J0BBADAA
0904010A0BBAGBF	0913461J0BBAEAA
0904010A0BBAHBF	0913461J0BBAFAA
0904010A0BBALBF	0913461J0BBABAA
0904010A0BBAMBF	0913461I0BBADAA
0904010A0BBANBF	0913461J0BBAGAA
0904010A0BBAQBF	0913461J0BBAHAA
0904010A0BBASBF	0913461I0BBABAA
0904010A0BQAABF	0913461I0BDAAAC
0904010A0BWAABF	0913461I0BCAAAB
0904010A0BWABBF	0913461I0BCABAB
0904010A0BWACBF	0913461J0BCAAAB
0904010A0BWADBF	0913461I0BCACAB
0904010A0BWAEBF	0913461J0BCACAB
0904010A0BWAFBF	0913461J0BCABAB
0904010ACBEAAAC	0913461A0BBAAAA
0904010ACBIABAC	0913461A0BDABAD
0904010ACBIADAC	0913461A0BDACAE
0904010ACBIAFAC	0913461A0BDAAAC
0904010ACBJAAAC	0913461A0BEAAAF
0904010ACBKAAAC	0913461A0BCAAAB
0904010AEAAAAAA	0913261A0AAABAB
0904010AEBCAAAA	0913261A0BCAAAB
0904010AEBCABAA	0913261A0BCADAB
0904010AEBCACAA	0913261A0BCABAB
0904010AEBCADAA	0913261A0BCACAB
0904010AKBBAAAA	0913261F0BBAAAA
0904010ALAAAAAA	0913261M0AAAEAE
0904010ALBBAAAA	0913261M0BBAEAE
0904010ALBBABAA	0913261M0BBAFAE
0904010ALBBACAA	0913261M0BBAKAC
0904010ALBBADAA	0913261M0BBAJAC
0904010ALBBAEAA	0913261M0BBALAC
0904010ALBBAFAA	0913261M0BBAMAC
0904010ALBBAGAA	0913261M0BBABAA
0904010ALBBAHAA	0913261M0BBACAA
0904010ALBBAIAA	0913261M0BBAGAB
0904010ALBBAJAA	0913261M0BBAHAB
0904010ALBBAKAA	0913261M0BBAIAB
0904010ALBBALAA	0913261M0BBADAE
0904010AMAAAAAA	0913261E0AAADAD
0904010AMBBAAAA	0913261E0BBAEAD
0904010AMBBABAA	0913261E0BBAGAD
0904010AMBBACAA	0913261E0BBAHAD
0904010AMBBADAA	0913261E0BBAFAD
0904010AMBDAAAA	0913261E0BCABAB
0904010AMBDABAA	0913261E0BCAAAB
0904010ANAAAAAA	0913261U0AAAAAA
0904010ANAAABAB	0913261H0AAAFAF
0904010ANBBAAAA	0913261U0BBAAAA
0904010ANBCAAAB	0913261H0BFACAF
0904010APAAABAB	0913261A0AAACAC
0904010APBBAAAA	0913261A0BBABAA
0904010APBBABAA	0913261A0BBAAAA
0904010APBCAAAB	0913261A0BCAEAC
0904010APBCABAB	0913261A0BCAFAC
0904010AQBBAAAA	0913261K0BBAHAA
0904010AQBBACAA	0913261K0BBACAA
0904010AQBBADAA	0913261K0BBAEAA
0904010AQBBAEAA	0913261K0BBAFAA
0904010AQBBAGAA	0913261K0BBADAA
0904010AQBBAHAA	0913261K0BBABAA
0904010AQBBAIAA	0913261K0BBAGAA
0904010AQBBAJAA	0913261K0BBAIAA
0904010AQBBAKAA	0913261K0BBAAAA
0904010AQBCAAAA	0913261K0BCAAAB
0904010ARBBAAAA	0913261F0BDABAC
0904010ARBBABAA	0913261F0BDAAAC
0904010ARBCAAAA	0913261F0BCAAAB
0904010ASAAAAAA	0913451A0AAAAAA
0904010ASBBAAAA	0913261B0BBABAA
0904010ASBBABAA	0913261B0BBAAAA
0904010ASBBACAA	0913261B0BBACAA
0904010ASBCAAAA	0913451A0BBAAAA
0904010ATAAAAAA	0913261S0AAACAC
0904010ATBBAAAA	0913261S0BCADAA
0904010ATBBABAA	0913261S0BCAEAA
0904010ATBBACAA	0913261S0BCABAA
0904010ATBBADAA	0913261S0BCACAA
0904010ATBBAEAA	0913261S0BCAAAC
0904010AXAAAAAA	0913261N0AAAEAE
0904010AXBBAAAA	0913261N0BDAAAE
0904010AYAAAAAA	0913261J0AAAGAG
0904010AYBBAAAA	0913261J0BFAAAG
0904010E0BFAAAF	0913261I0BDABAA
0904010E0BGAAAF	0913261G0BHAAAH
0904010E0BGABAF	0913451B0BBAAAA
0904010E0BGACAF	0913261I0BCAAAD
